Name,Chocolatey Name
7-Zip 15.05 beta,7zip
7-Zip 15.05 beta x64,7zip
7-Zip 15.06 beta (x64),7zip
7-Zip 15.07 beta (x64),7zip
7-Zip 4.57,7zip
7-Zip 4.65,7zip
7-Zip 9.20,7zip
7-Zip 9.20 (x64 edition),7zip
7-Zip 9.22beta,7zip
7-Zip 9.38 (x64 edition),7zip
7-Zip 9.38 beta,7zip
Adobe Flash Player 16 NPAPI,flashplayerplugin 
Adobe Flash Player 18 NPAPI,flashplayerplugin 
Adobe Flash Player 19 NPAPI,flashplayerplugin 
AutoHotkey 1.0.48.05,autohotkey
AutoHotkey 1.1.11.01,autohotkey
AutoHotkey 1.1.13.00,autohotkey
AutoHotkey 1.1.13.01,autohotkey
AutoHotkey 1.1.14.02,autohotkey
AutoHotkey 1.1.14.03,autohotkey
AutoHotkey 1.1.15.00,autohotkey
AutoHotkey 1.1.16.05,autohotkey
AutoHotkey 1.1.20.02,autohotkey
AutoHotkey 1.1.21.00,autohotkey
AutoHotkey 1.1.21.03,autohotkey
AutoHotkey 1.1.22.00,autohotkey
AutoHotkey 1.1.22.02,autohotkey
AutoHotkey 1.1.22.03,autohotkey
AutoHotkey 1.1.22.04,autohotkey
AutoHotkey 1.1.22.06,autohotkey
CCleaner,ccleaner
Cisco WebEx Meetings,webexplayer
FileZilla Client 3.10.1.1,filezilla
FileZilla Client 3.10.2,filezilla
FileZilla Client 3.10.3,filezilla
FileZilla Client 3.11.0.2,filezilla
FileZilla Client 3.12.0.2,filezilla
FileZilla Client 3.13.0,filezilla
FileZilla Client 3.13.1,filezilla
FileZilla Client 3.14.0,filezilla
FileZilla Client 3.5.3,filezilla
FileZilla Client 3.6.0.2,filezilla
FileZilla Client 3.7.3,filezilla
FileZilla Client 3.7.4.1,filezilla
FileZilla Client 3.8.0,filezilla
FileZilla Client 3.8.1,filezilla
FileZilla Client 3.9.0.5,filezilla
FileZilla Client 3.9.0.6,filezilla
git,git
Git version 1.8.3-preview20130601,git
Git version 1.8.4-preview20130916,git
Git version 1.9.2-preview20140411,git
Git version 1.9.4-preview20140611,git
Git version 1.9.4-preview20140929,git
Git version 1.9.5-preview20141217,git
Git version 1.9.5-preview20150319,git
Git version 2.5.0,git
Git version 2.5.3,git
Google Chrome,googlechrome
Google Earth,googleearth
GoToMeeting 5.7.0.1172,gotomeeting
GoToMeeting 5.8.0.1189,gotomeeting
GoToMeeting 6.0.0.1259,gotomeeting
GoToMeeting 7.2.3.3019,gotomeeting
GoToMeeting 7.3.0.3499,gotomeeting
Greenshot 1.1.7.17,greenshot
Greenshot 1.1.8.35,greenshot
Greenshot 1.1.9.13,greenshot
Greenshot 1.2.4.10,greenshot
Greenshot 1.2.6.7,greenshot
HexChat,hexchat
Mozilla Firefox 41.0.1 (x86 en-US),firefox
PDFCreator,pdfcreator
QuickTime 7,quicktime
R for Windows 3.1.2,r.project 
R for Windows 3.2.0,r.project 
R for Windows 3.2.2,r.project 
Royal TS,royalts
Royal TS 2.2.7.60519,royalts
Royal TS 3.0.1.60226,royalts
Royal TS 3.1.4.60807,royalts
RStudio,r.studio
Skype 6.11,skype
Skype 6.16,skype
Skype 6.18,skype
Skype 6.20,skype
Skype 6.21,skype
Skype 7.0,skype
Skype 7.1,skype
Skype 7.10,skype
Skype 7.12,skype
Skype 7.2,skype
Skype 7.3,skype
Skype 7.4,skype
Skype 7.5,skype
Skype 7.6,skype
Skype 7.7,skype
Skype 7.8,skype
Skype? 7.8,skype
TortoiseSVN 1.6.16.21511 (64 bit),tortoisesvn
TortoiseSVN 1.6.8.19260 (32 bit),tortoisesvn
TortoiseSVN 1.7.11.23600 (64 bit),tortoisesvn
TortoiseSVN 1.7.12.24070 (64 bit),tortoisesvn
TortoiseSVN 1.8.0.24401 (64 bit),tortoisesvn
TortoiseSVN 1.8.1.24570 (64 bit),tortoisesvn
TortoiseSVN 1.8.10.26129 (64 bit),tortoisesvn
TortoiseSVN 1.8.11.26392 (64 bit),tortoisesvn
TortoiseSVN 1.8.2.24708 (64 bit),tortoisesvn
TortoiseSVN 1.8.3.24901 (64 bit),tortoisesvn
TortoiseSVN 1.8.4.24972 (64 bit),tortoisesvn
TortoiseSVN 1.8.5.25224 (64 bit),tortoisesvn
TortoiseSVN 1.8.6.25419 (64 bit),tortoisesvn
TortoiseSVN 1.8.7.25475 (64 bit),tortoisesvn
TortoiseSVN 1.8.8.25755 (64 bit),tortoisesvn
TortoiseSVN 1.9.0.26652 (64 bit),tortoisesvn
TortoiseSVN 1.9.1.26747 (64 bit),tortoisesvn
TortoiseSVN 1.9.2.26806 (64 bit),tortoisesvn
Vagrant,vagrant
VLC Media Player,vlc
VMware Player,vmwareplayer
WebEx,webexplayer
WinRAR 4.20 (64-bit),winrar
WinRAR 5.00 (64-bit),winrar
WinRAR 5.01 (32-bit),winrar
WinRAR 5.11 (64-bit),winrar
WinRAR 5.21 (32-bit),winrar
WinRAR 5.21 beta 1 (64-bit),winrar
WinSCP 4.2.8,winscp
WinSCP 4.3.7,winscp
WinSCP 5.1.2,winscp
WinSCP 5.5.1,winscp
WinSCP 5.5.6,winscp
Wireshark 1.10.5 (64-bit),wireshark
Wireshark 1.10.6 (64-bit),wireshark
Wireshark 1.10.7 (64-bit),wireshark
Wireshark 1.12.0 (64-bit),wireshark
Wireshark 1.12.5 (64-bit),wireshark
Wireshark 1.6.0,wireshark
Wireshark 1.6.7 (64-bit),wireshark
Wireshark 1.8.10 (64-bit),wireshark
